Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
1/2021,CNN,2.6542
2/2021,CNN,3.262
3/2021,CNN,3.7744
4/2021,CNN,2.4524
5/2021,CNN,2.6195
6/2021,CNN,1.7959
7/2021,CNN,4.552
8/2021,CNN,4.2027
9/2021,CNN,3.1848
10/2021,CNN,2.8541
11/2021,CNN,1.9959
12/2021,CNN,4.8883
1/2022,CNN,3.9161
2/2022,CNN,1.6586
3/2022,CNN,0.5161
4/2022,CNN,1.465
5/2022,CNN,1.4563
6/2022,CNN,0.7943
7/2022,CNN,1.0347
8/2022,CNN,0.6536
9/2022,CNN,0.3831
10/2022,CNN,0.6643
11/2022,CNN,0.8655
12/2022,CNN,1.5473
1/2023,CNN,0.7188
2/2023,CNN,0.7639
3/2023,CNN,0.6996
4/2023,CNN,0.3659
5/2023,CNN,0.4309
6/2023,CNN,0.2994
7/2023,CNN,0.4231
8/2023,CNN,0.1793
9/2023,CNN,0.3625
10/2023,CNN,0.0683
11/2023,CNN,0.1151
12/2023,CNN,0.1928
1/2024,CNN,0.1924
2/2024,CNN,0.2857
3/2024,CNN,0.3874
4/2024,CNN,0.2425
5/2024,CNN,0.1052
6/2024,CNN,0.2971
7/2024,CNN,0.4032
8/2024,CNN,0.2566
9/2024,CNN,0.2999
10/2024,CNN,0.4372
12/2019,CSPAN,0
1/2020,CSPAN,0
2/2020,CSPAN,0.0191
3/2020,CSPAN,1.487
4/2020,CSPAN,3.8125
5/2020,CSPAN,3.5087
6/2020,CSPAN,2.7889
7/2020,CSPAN,2.9719
8/2020,CSPAN,1.4957
9/2020,CSPAN,2.244
10/2020,CSPAN,2.3765
11/2020,CSPAN,2.0842
12/2020,CSPAN,3.44
1/2021,CSPAN,2.4876
2/2021,CSPAN,3.2716
3/2021,CSPAN,2.7659
4/2021,CSPAN,2.2935
5/2021,CSPAN,1.9839
6/2021,CSPAN,1.8301
7/2021,CSPAN,2.1636
8/2021,CSPAN,2.1148
9/2021,CSPAN,1.7742
10/2021,CSPAN,1.3359
11/2021,CSPAN,2.0837
12/2021,CSPAN,1.978
1/2022,CSPAN,1.9854
2/2022,CSPAN,1.238
3/2022,CSPAN,0.821
4/2022,CSPAN,1.3877
5/2022,CSPAN,1.1852
6/2022,CSPAN,0.7106
7/2022,CSPAN,1.0232
8/2022,CSPAN,1.0157
9/2022,CSPAN,0.8542
10/2022,CSPAN,0.8233
11/2022,CSPAN,0.7225
12/2022,CSPAN,0.9075
1/2023,CSPAN,0.6741
2/2023,CSPAN,0.9822
3/2023,CSPAN,0.9924
4/2023,CSPAN,0.6368
5/2023,CSPAN,1.0591
6/2023,CSPAN,0.6295
7/2023,CSPAN,0.6729
8/2023,CSPAN,0.4121
9/2023,CSPAN,0.5006
10/2023,CSPAN,0.2867
11/2023,CSPAN,0.5258
12/2023,CSPAN,0.413
1/2024,CSPAN,0.5643
2/2024,CSPAN,0.3
3/2024,CSPAN,0.3424
4/2024,CSPAN,0.2482
5/2024,CSPAN,0.3114
6/2024,CSPAN,0.5513
7/2024,CSPAN,0.3484
8/2024,CSPAN,0.331
9/2024,CSPAN,0.5154
10/2024,CSPAN,0.3452
12/2019,DW,0
1/2020,DW,0
2/2020,DW,0
3/2020,DW,0
4/2020,DW,0
5/2020,DW,0
6/2020,DW,0
7/2020,DW,0
8/2020,DW,0
9/2020,DW,0
10/2020,DW,0
11/2020,DW,0
12/2020,DW,0
1/2021,DW,0
2/2021,DW,0
3/2021,DW,0
4/2021,DW,0
5/2021,DW,0
6/2021,DW,0
7/2021,DW,0
8/2021,DW,0
9/2021,DW,0
10/2021,DW,0
11/2021,DW,0
12/2021,DW,0
1/2022,DW,0
2/2022,DW,0
3/2022,DW,0
4/2022,DW,0
5/2022,DW,0
6/2022,DW,0
7/2022,DW,0
8/2022,DW,0
9/2022,DW,0
10/2022,DW,0
11/2022,DW,0
12/2022,DW,0
1/2023,DW,0
2/2023,DW,0
3/2023,DW,0
4/2023,DW,0
5/2023,DW,0
6/2023,DW,0
7/2023,DW,0
8/2023,DW,0
9/2023,DW,0
10/2023,DW,0
11/2023,DW,0
12/2023,DW,0
1/2024,DW,0
2/2024,DW,0
3/2024,DW,0
4/2024,DW,0
5/2024,DW,0
6/2024,DW,0
7/2024,DW,0
8/2024,DW,0
9/2024,DW,0
10/2024,DW,0
12/2019,FOXNEWS,0
1/2020,FOXNEWS,0
2/2020,FOXNEWS,0.076
3/2020,FOXNEWS,1.9715
4/2020,FOXNEWS,4.0236
5/2020,FOXNEWS,2.7755
6/2020,FOXNEWS,1.5926
7/2020,FOXNEWS,2.3548
8/2020,FOXNEWS,2.1549
9/2020,FOXNEWS,1.9059
10/2020,FOXNEWS,3.5398
11/2020,FOXNEWS,2.7003
12/2020,FOXNEWS,3.615
1/2021,FOXNEWS,2.6394
2/2021,FOXNEWS,3.0908
3/2021,FOXNEWS,3.9831
4/2021,FOXNEWS,2.0988
5/2021,FOXNEWS,2.7203
6/2021,FOXNEWS,2.4485
7/2021,FOXNEWS,3.5435
8/2021,FOXNEWS,3.2202
9/2021,FOXNEWS,2.5513
10/2021,FOXNEWS,2.3646
11/2021,FOXNEWS,2.0668
12/2021,FOXNEWS,3.7464
1/2022,FOXNEWS,4.0917
2/2022,FOXNEWS,1.8506
3/2022,FOXNEWS,0.7308
