Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
11/2020,CNN,3.161
12/2020,CNN,3.3487
1/2021,CNN,1.5169
2/2021,CNN,1.3237
3/2021,CNN,1.1762
4/2021,CNN,0.701
5/2021,CNN,0.7291
6/2021,CNN,0.4161
7/2021,CNN,0.9034
8/2021,CNN,0.5875
9/2021,CNN,0.4284
10/2021,CNN,0.2804
11/2021,CNN,0.3347
12/2021,CNN,0.5583
1/2022,CNN,0.3097
2/2022,CNN,0.0941
3/2022,CNN,0.0312
4/2022,CNN,0.0726
5/2022,CNN,0.0851
6/2022,CNN,0.0352
7/2022,CNN,0.0781
8/2022,CNN,0.0285
9/2022,CNN,0.0298
10/2022,CNN,0.0299
11/2022,CNN,0.0125
12/2022,CNN,0.0356
1/2023,CNN,0.0211
2/2023,CNN,0.0474
3/2023,CNN,0.0188
4/2023,CNN,0.0111
5/2023,CNN,0.0077
6/2023,CNN,0.0065
7/2023,CNN,0.0405
8/2023,CNN,0.0035
9/2023,CNN,0.0105
10/2023,CNN,0.0033
11/2023,CNN,0.0026
12/2023,CNN,0.0094
1/2024,CNN,0.0133
2/2024,CNN,0.0015
3/2024,CNN,0.0025
4/2024,CNN,0.0032
5/2024,CNN,0.0037
6/2024,CNN,0.031
7/2024,CNN,0.0019
8/2024,CNN,0.0037
9/2024,CNN,0.0072
10/2024,CNN,0
12/2019,CSPAN,0
1/2020,CSPAN,0.0241
2/2020,CSPAN,0.854
3/2020,CSPAN,5.711
4/2020,CSPAN,4.3542
5/2020,CSPAN,2.6678
6/2020,CSPAN,1.4454
7/2020,CSPAN,1.762
8/2020,CSPAN,0.9812
9/2020,CSPAN,1.0795
10/2020,CSPAN,1.0308
11/2020,CSPAN,0.7451
12/2020,CSPAN,1.1283
1/2021,CSPAN,0.6181
2/2021,CSPAN,0.6493
3/2021,CSPAN,0.5261
4/2021,CSPAN,0.3954
5/2021,CSPAN,0.3308
6/2021,CSPAN,0.248
7/2021,CSPAN,0.2643
8/2021,CSPAN,0.1257
9/2021,CSPAN,0.1384
10/2021,CSPAN,0.0962
11/2021,CSPAN,0.1572
12/2021,CSPAN,0.2309
1/2022,CSPAN,0.1624
2/2022,CSPAN,0.0743
3/2022,CSPAN,0.0691
4/2022,CSPAN,0.0658
5/2022,CSPAN,0.0448
6/2022,CSPAN,0.0392
7/2022,CSPAN,0.0449
8/2022,CSPAN,0.0714
9/2022,CSPAN,0.0373
10/2022,CSPAN,0.0229
11/2022,CSPAN,0.0263
12/2022,CSPAN,0.0951
1/2023,CSPAN,0.0559
2/2023,CSPAN,0.0478
3/2023,CSPAN,0.0734
4/2023,CSPAN,0.0206
5/2023,CSPAN,0.0354
6/2023,CSPAN,0.0329
7/2023,CSPAN,0.0459
8/2023,CSPAN,0.0043
9/2023,CSPAN,0.0067
10/2023,CSPAN,0.0023
11/2023,CSPAN,0.0279
12/2023,CSPAN,0.0059
1/2024,CSPAN,0.0177
2/2024,CSPAN,0.0055
3/2024,CSPAN,0.0071
4/2024,CSPAN,0.0013
5/2024,CSPAN,0.0039
6/2024,CSPAN,0.0449
7/2024,CSPAN,0.0098
8/2024,CSPAN,0.0059
9/2024,CSPAN,0.0235
10/2024,CSPAN,0.0037
12/2019,DW,0
1/2020,DW,0.5333
2/2020,DW,1.8824
3/2020,DW,4.8001
4/2020,DW,4.8893
5/2020,DW,4.3847
6/2020,DW,3.7732
7/2020,DW,4.103
8/2020,DW,3.0665
9/2020,DW,2.631
10/2020,DW,3.17
11/2020,DW,2.8888
12/2020,DW,3.1288
1/2021,DW,2.6064
2/2021,DW,1.8181
3/2021,DW,2.011
4/2021,DW,2.0251
5/2021,DW,1.0771
6/2021,DW,0
7/2021,DW,0
8/2021,DW,0
9/2021,DW,0
10/2021,DW,0
11/2021,DW,0
12/2021,DW,0
1/2022,DW,0
2/2022,DW,0
3/2022,DW,0
4/2022,DW,0
5/2022,DW,0
6/2022,DW,0
7/2022,DW,0
8/2022,DW,0
9/2022,DW,0
10/2022,DW,0
11/2022,DW,0
12/2022,DW,0
1/2023,DW,0
2/2023,DW,0
3/2023,DW,0
4/2023,DW,0
5/2023,DW,0
6/2023,DW,0
7/2023,DW,0
8/2023,DW,0
9/2023,DW,0
10/2023,DW,0
11/2023,DW,0
12/2023,DW,0
1/2024,DW,0
2/2024,DW,0
3/2024,DW,0
4/2024,DW,0
5/2024,DW,0
6/2024,DW,0
7/2024,DW,0
8/2024,DW,0
9/2024,DW,0
10/2024,DW,0
12/2019,FOXNEWS,0
1/2020,FOXNEWS,0.3614
2/2020,FOXNEWS,2.3511
3/2020,FOXNEWS,8.0115
4/2020,FOXNEWS,6.1019
5/2020,FOXNEWS,3.5052
6/2020,FOXNEWS,1.936
7/2020,FOXNEWS,2.5147
8/2020,FOXNEWS,2.0293
9/2020,FOXNEWS,1.7119
10/2020,FOXNEWS,2.1011
