Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
8/2020,CNN,7.0116
9/2020,CNN,6.3027
10/2020,CNN,9.8615
11/2020,CNN,6.1711
12/2020,CNN,7.9394
1/2021,CNN,4.06
2/2021,CNN,4.4821
3/2021,CNN,4.8859
4/2021,CNN,3.0977
5/2021,CNN,3.2843
6/2021,CNN,2.1718
7/2021,CNN,5.3511
8/2021,CNN,4.72
9/2021,CNN,3.5731
10/2021,CNN,3.0982
11/2021,CNN,2.2915
12/2021,CNN,5.3841
1/2022,CNN,4.1803
2/2022,CNN,1.7408
3/2022,CNN,0.5415
4/2022,CNN,1.5248
5/2022,CNN,1.518
6/2022,CNN,0.8251
7/2022,CNN,1.1019
8/2022,CNN,0.6793
9/2022,CNN,0.4039
10/2022,CNN,0.6935
11/2022,CNN,0.8765
12/2022,CNN,1.5722
1/2023,CNN,0.7342
2/2023,CNN,0.802
3/2023,CNN,0.7144
4/2023,CNN,0.3744
5/2023,CNN,0.4365
6/2023,CNN,0.3059
7/2023,CNN,0.4578
8/2023,CNN,0.1821
9/2023,CNN,0.3707
10/2023,CNN,0.0715
11/2023,CNN,0.1177
12/2023,CNN,0.2014
1/2024,CNN,0.2057
2/2024,CNN,0.2871
3/2024,CNN,0.3899
4/2024,CNN,0.2451
5/2024,CNN,0.1077
6/2024,CNN,0.3269
7/2024,CNN,0.4044
8/2024,CNN,0.2603
9/2024,CNN,0.3058
10/2024,CNN,0.4372
12/2019,CSPAN,0
1/2020,CSPAN,0.0241
2/2020,CSPAN,0.8656
3/2020,CSPAN,7.094
4/2020,CSPAN,8.0609
5/2020,CSPAN,6.0663
6/2020,CSPAN,4.1756
7/2020,CSPAN,4.6406
8/2020,CSPAN,2.4631
9/2020,CSPAN,3.2679
10/2020,CSPAN,3.3517
11/2020,CSPAN,2.7938
12/2020,CSPAN,4.4943
1/2021,CSPAN,3.08
2/2021,CSPAN,3.8743
3/2021,CSPAN,3.2685
4/2021,CSPAN,2.6721
5/2021,CSPAN,2.3061
6/2021,CSPAN,2.0526
7/2021,CSPAN,2.4074
8/2021,CSPAN,2.233
9/2021,CSPAN,1.898
10/2021,CSPAN,1.4231
11/2021,CSPAN,2.2259
12/2021,CSPAN,2.1816
1/2022,CSPAN,2.128
2/2022,CSPAN,1.306
3/2022,CSPAN,0.8827
4/2022,CSPAN,1.4516
5/2022,CSPAN,1.2288
6/2022,CSPAN,0.7474
7/2022,CSPAN,1.0668
8/2022,CSPAN,1.0819
9/2022,CSPAN,0.8865
10/2022,CSPAN,0.8462
11/2022,CSPAN,0.7487
12/2022,CSPAN,1.0003
1/2023,CSPAN,0.7239
2/2023,CSPAN,1.0252
3/2023,CSPAN,1.0594
4/2023,CSPAN,0.655
5/2023,CSPAN,1.0904
6/2023,CSPAN,0.6605
7/2023,CSPAN,0.7158
8/2023,CSPAN,0.4164
9/2023,CSPAN,0.5055
10/2023,CSPAN,0.2891
11/2023,CSPAN,0.5475
12/2023,CSPAN,0.4189
1/2024,CSPAN,0.5795
2/2024,CSPAN,0.3056
3/2024,CSPAN,0.3495
4/2024,CSPAN,0.2482
5/2024,CSPAN,0.3153
6/2024,CSPAN,0.5903
7/2024,CSPAN,0.3581
8/2024,CSPAN,0.3358
9/2024,CSPAN,0.5365
10/2024,CSPAN,0.3471
12/2019,DW,0
1/2020,DW,0.5333
2/2020,DW,1.8824
3/2020,DW,4.8001
4/2020,DW,4.8893
5/2020,DW,4.3847
6/2020,DW,3.7732
7/2020,DW,4.103
8/2020,DW,3.0665
9/2020,DW,2.631
10/2020,DW,3.17
11/2020,DW,2.8888
12/2020,DW,3.1288
1/2021,DW,2.6064
2/2021,DW,1.8181
3/2021,DW,2.011
4/2021,DW,2.0251
5/2021,DW,1.0771
6/2021,DW,0
7/2021,DW,0
8/2021,DW,0
9/2021,DW,0
10/2021,DW,0
11/2021,DW,0
12/2021,DW,0
1/2022,DW,0
2/2022,DW,0
3/2022,DW,0
4/2022,DW,0
5/2022,DW,0
6/2022,DW,0
7/2022,DW,0
8/2022,DW,0
9/2022,DW,0
10/2022,DW,0
11/2022,DW,0
12/2022,DW,0
1/2023,DW,0
2/2023,DW,0
3/2023,DW,0
4/2023,DW,0
5/2023,DW,0
6/2023,DW,0
7/2023,DW,0
8/2023,DW,0
9/2023,DW,0
10/2023,DW,0
11/2023,DW,0
12/2023,DW,0
1/2024,DW,0
2/2024,DW,0
3/2024,DW,0
4/2024,DW,0
5/2024,DW,0
6/2024,DW,0
7/2024,DW,0
8/2024,DW,0
9/2024,DW,0
10/2024,DW,0
12/2019,FOXNEWS,0
1/2020,FOXNEWS,0.3614
2/2020,FOXNEWS,2.4067
3/2020,FOXNEWS,9.7478
4/2020,FOXNEWS,9.8963
5/2020,FOXNEWS,6.1408
6/2020,FOXNEWS,3.452
7/2020,FOXNEWS,4.7585
8/2020,FOXNEWS,4.1028
9/2020,FOXNEWS,3.5474
10/2020,FOXNEWS,5.5178
11/2020,FOXNEWS,4.0893
12/2020,FOXNEWS,5.1116
1/2021,FOXNEWS,3.4223
2/2021,FOXNEWS,3.7347
3/2021,FOXNEWS,4.6317
4/2021,FOXNEWS,2.4093
5/2021,FOXNEWS,3.4115
6/2021,FOXNEWS,2.9518
7/2021,FOXNEWS,3.8905
8/2021,FOXNEWS,3.4401
9/2021,FOXNEWS,2.7578
10/2021,FOXNEWS,2.5266
11/2021,FOXNEWS,2.2742
12/2021,FOXNEWS,3.974
1/2022,FOXNEWS,4.3215
2/2022,FOXNEWS,1.9382
3/2022,FOXNEWS,0.7705
4/2022,FOXNEWS,1.7615
5/2022,FOXNEWS,1.0703
6/2022,FOXNEWS,0.8548
7/2022,FOXNEWS,1.4755
8/2022,FOXNEWS,1.1032
9/2022,FOXNEWS,0.7686
10/2022,FOXNEWS,0.967
11/2022,FOXNEWS,1.3865
12/2022,FOXNEWS,1.626
1/2023,FOXNEWS,0.9956
2/2023,FOXNEWS,1.1399
3/2023,FOXNEWS,1.196
